DayOfYear,Hist_Avg_Rainfall,Hist_Avg_Inflow,Hist_Avg_Storage
195,15.45,134417900.0,0.5709915801157758
196,14.427000000000001,125503300.0,0.5712545801157758
197,14.282,124256300.0,0.5987575801157758
198,10.809000000000001,94026700.0,0.6162765801157758
199,13.538999999999998,117798000.0,0.6357185801157759
200,11.261,97959100.0,0.6510785801157758
201,11.861,103193600.0,0.6621375801157758
202,13.985,121663700.0,0.6690575801157758
203,12.854999999999999,111835600.0,0.6760515801157758
204,13.985,121660800.0,0.6882965801157759
205,12.561,109274900.0,0.7056515801157758
206,15.778,137277300.0,0.7248555801157759
207,15.245,132628600.0,0.7377317171817711
208,11.918,103677900.0,0.7466493848583134
209,9.122,79358500.0,0.7543778242357357
210,10.899,94824200.0,0.7575645801157759
211,10.179,88548600.0,0.7755065801157758
212,7.9319999999999995,69008400.0,0.7922425801157759
213,8.403,73100300.0,0.8057015801157759
214,7.33,63776800.0,0.8250795761479195
215,17.618,153270800.0,0.8205775801157758
216,16.055,139669800.0,0.8560505801157758
217,14.932999999999998,129931600.0,0.8981835801157757
218,11.34,98652200.0,0.9663615801157757
219,9.899000000000001,86121300.0,1.0430945801157758
220,8.952000000000002,77876600.0,1.0880165801157757
221,7.7219999999999995,67169800.0,1.1181535801157758
222,7.233,62927100.0,1.1413821142774039
223,6.7909999999999995,59084600.0,1.1560667241363363
224,5.864,51008100.0,1.177896580115776
225,6.712000000000001,58388600.0,1.1982856370828323
226,7.434,64678700.0,1.2106265609254747
227,8.159,70983300.0,1.2132249043738883
228,14.007,121852200.0,1.2207750689197232
229,14.357999999999999,124917500.0,1.2330992552761442
230,11.856,103150100.0,1.2476474374349535
231,13.738999999999999,119532200.0,1.2580015642145184
232,19.067,165882900.0,1.2704065801157758
233,10.754000000000001,93559800.0,1.289963124662108
234,6.388,55572700.0,1.3049725801157759
235,4.919,42804000.0,1.3174731246621076
236,5.7299999999999995,49842300.0,1.3351663387449708
237,8.828999999999999,76803600.0,1.3499600892960912
238,7.866,68437100.0,1.3673269261028786
239,7.714,67108900.0,1.3840361321173857
240,8.180000000000001,71160200.0,1.4046306600881615
241,7.808,67941200.0,1.4261446294500244
242,8.718,75843700.0,1.45149828092605
243,10.526,91576200.0,1.4689470341757542
244,7.08,61604700.0,1.491498568869478
245,5.639,49050600.0,1.50657986073553
246,7.553,65708200.0,1.5174416053467092
247,9.762,84935200.0,1.5277166885131532
248,6.978999999999999,60728900.0,1.5378741102350895
249,7.507000000000001,65305100.0,1.5539227426311069
250,12.245999999999999,106528600.0,1.551342034793033
251,12.576,109408300.0,1.5586895801157759
252,6.728,58542300.0,1.5751484502619078
253,5.4,46982900.0,1.586772580115776
254,5.531000000000001,48119700.0,1.5940195801157757
255,7.358,64014600.0,1.6038505801157759
256,8.857000000000001,77055900.0,1.615941580115776
257,6.993,60842000.0,1.628432580115776
258,7.641,66491200.0,1.6376035801157758
259,10.485,91225300.0,1.649554992510677
260,11.293000000000001,98240400.0,1.6591625801157757
261,11.838,102981900.0,1.664891580115776
262,11.539,100383500.0,1.6668885801157756
263,9.952,86585300.0,1.6711625081300394
264,10.218,88893700.0,1.6781643942206794
265,11.856,103144300.0,1.6983885801157759
266,10.489,91251400.0,1.699565580115776
267,9.084,79027900.0,1.7095595801157757
268,7.709999999999999,67079900.0,1.617723316855797
269,10.497,91329700.0,1.7336685801157756
270,10.361,90129100.0,1.7470725801157758
271,12.87,111954500.0,1.7478438533183762
272,5.059,44016200.0,1.7693361334114042
273,2.56,22280700.0,1.7781443330236377
274,2.654,23101400.0,1.78998264793247
275,6.218999999999999,54102400.0,1.7954479629306141
276,3.025,26317500.0,1.8188933164203938
277,2.6260000000000003,22849100.0,1.8303375801157755
278,2.681,23324700.0,1.805256043882818
279,5.017,43633400.0,1.8071508436625898
280,3.572,31085100.0,1.807204628462625
281,3.4270000000000005,29820700.0,1.8081245801157757
282,3.4810000000000003,30287600.0,1.807760324150174
283,5.502,47876100.0,1.812441580115776
284,4.523,39350100.0,1.8115075801157758
285,6.572,57182200.0,1.8110293074129657
286,3.482,30293400.0,1.8134908233033304
287,3.461,30107800.0,1.8116483345062313
288,3.9509999999999996,34370800.0,1.8118175801157759
289,2.071,18011900.0,1.8105875801157758
290,2.3120000000000003,20120200.0,1.8093575801157757
291,2.1510000000000002,18713700.0,1.8074840687752096
292,3.9989999999999997,34788400.0,1.8065805801157757
293,4.421,38459800.0,1.8050345801157757
294,3.636,31627400.0,1.804313837811042
295,3.303,28736100.0,1.7985183454473486
296,2.709,23556700.0,1.8013599657835548
297,2.875,25009600.0,1.8000506988198428
298,3.043,26474100.0,1.7972215445561663
299,2.575,22405400.0,1.7978975029922986
300,1.611,14018600.0,1.7962305741285125
301,1.327,11542000.0,1.7957447579647166
302,1.246,10848900.0,1.7944205801157758
303,0.9030000000000001,7859000.0,1.7931735801157758
304,0.33199999999999996,2891300.0,1.7922425801157758
305,1.061,9227800.0,1.7897653074129658
306,0.9390000000000001,8160600.0,1.7905366004024486
307,0.7070000000000001,6156700.0,1.7893045801157759
308,0.512,4454400.0,1.7890133074129657
309,0.5359999999999999,4671900.0,1.7931835801157756
310,0.32399999999999995,2813000.0,1.794602580115776
311,0.069,611900.0,1.7926503074129656
312,0.203,1766100.0,1.7914213074129655
313,0.1,864200.0,1.7910145801157757
314,0.219,1899500.0,1.789603580115776
315,0.002,17400.0,1.7877125801157756
316,0.009999999999999998,84100.0,1.786402580115776
317,0.033999999999999996,301600.0,1.7844205801157755
318,0.077,672800.0,1.7830725801157759
319,0.05500000000000001,481400.0,1.7810455801157759
320,0.16699999999999998,1447100.0,1.7795475801157756
321,0.605,5263500.0,1.7772955801157757
322,0.203,1766100.0,1.7752895801157755
323,0.384,3346600.0,1.772187824494673
324,0.9719999999999999,8450600.0,1.7693203474911432
325,0.877,7624100.0,1.7668818764024206
326,0.516,4495000.0,1.7644583068834112
327,0.12999999999999998,1128100.0,1.7615942945386778
328,0.069,597400.0,1.7587233911094509
329,0.06799999999999999,594500.0,1.7540450347101555
330,0.9099999999999999,7919900.0,1.7522563074129658
331,1.079,9390200.0,1.748832177487196
332,0.634,5515800.0,1.7469043074129658
333,0.297,2586800.0,1.7504055801157758
334,0.352,3065300.0,1.749415857387325
335,2.2079999999999997,19209600.0,1.748644365194671
